自動体外式除細動器（ＡＥＤ）設置施設一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,令和元年９月１日現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
№,地区,区分,名称,住所,連絡先,台数,場所,時間帯,定休日など,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,三八城,民間企業など,㈱ＮＴＴ東日本‐東北　青森支店　設備部門八戸サービスセンタ,八戸市城下四丁目２０－３４,24-2968,1,2階事務室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,三八城,民間企業など,三春屋,八戸市大字十三日町1３,24-7384,1,1階入口左側,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,三八城,民間企業など,ピアドゥ,八戸市沼館四丁目７－１１１,24-1840,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,三八城,民間企業など,八戸燃料㈱　セルフＳＳ沼館南,八戸市沼館二丁目２－８,45-6012,1,1階事務所兼セールスルーム入口正面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,三八城,民間企業など,八戸燃料㈱　城下ＳＳ,八戸市城下一丁目９－１０,43-5709,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,三八城,民間企業など,八戸グランドホテル,八戸市大字番町１４,46-1234,1,1階フロントカウンター,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,三八城,民間企業など,コンサートホール八戸,八戸市大字六日町２５,46-3173,1,景品カウンター内,8:30～23:00,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,三八城,民間企業など,おはな,八戸市大字十三日町２７,72-4561,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,三八城,民間企業など,八戸液化ガス㈱　八戸SS,八戸市城下三丁目１３－２１,46-2485,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,三八城,民間企業など,株式会社ウイクトリア　ＮＣビル,八戸市大字番町３　NCビル,47-3045,1,NCビル内,6:00～23:00,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,三八城,民間企業など,ホテルイマルカ八戸,八戸市大字馬場町１４,43-0123,1,,24時間,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,三八城,民間企業など,小幡建設工業株式会社,八戸市城下四丁目２２－３３,22-1121,1,1階,8:00～17:00,日・祝・第二土曜日、年末年始、盆休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,三八城,民間企業など,八戸プラザホテル,八戸市柏崎一丁目６－６,44-3121,1,1階フロント,24時間,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,三八城,民間企業など,プラザアーバンホール,八戸市柏崎一丁目６－６,44-3121,1,1階フロント,8:00～21:00,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,三八城,民間企業など,ハード工業有限会社,八戸市沼館三丁目２－１８,22-3379,1,,8:00～17:15,日・祝、年末年始、盆休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,三八城,民間企業など,青森銀行　八戸支店,八戸市大字番町１０－２,43-0111,1,,6:00～22:00,使用可能,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,三八城,民間企業など,みちのく銀行　八戸営業部,八戸市大字八日町２７,43-3141,1,,9:00～17:00,土・日・祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,三八城,民間企業など,（株）サンデー　八戸沼館店,八戸市沼館四丁目７－１１４,41-2202,1,,7:00～21:00,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,三八城,民間企業など,八戸通運株式会社,八戸市城下一丁目１－９,44-0121,1,１階エントランス,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,三八城,民間企業など,グルーヴィン楽器,八戸市内丸一丁目２－１７,22-1065,1,豊山マンション　エントランス,（平日）11:00:20:00　／（土日祝）10:00～20:00,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,三八城,民間企業など,青い森信用金庫　本店営業部,八戸市大字八日町１８,44-3321,1,,9:00～17:00,土･日･祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,三八城,病院・福祉施設など,夏堀デンタルクリニック,八戸市城下一丁目１５－２８,44-3737,1,診察室1階入口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,三八城,病院・福祉施設など,洲崎耳鼻咽喉科医院,八戸市内丸三丁目２－８,44-2213,1,1階手術室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,三八城,病院・福祉施設など,安達内科クリニック,八戸市大字馬場町１－７,24-4818,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,三八城,病院・福祉施設など,有料老人ホーム　サンライズ八戸,八戸市長根二丁目１４－３,44-8055,1,,6:30～20:00,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,三八城,病院・福祉施設など,デイサービスセンター　ちょうじゃの森,八戸市城下一丁目３０－９,72-5525,1,,8:30～17:30,お盆休み（8/13～8/15）、年末年始（12/31～1/3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,三八城,公共施設・機関,八戸ポータルミュージアムはっち,八戸市大字三日町１１－１,22-8228,2,1階インフォメーション・4階こどもはっち,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,三八城,公共施設・機関,八戸文化教養センター　南部会館,八戸市内丸三丁目３－６,43-9202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,三八城,公共施設・機関,はちのへまちなかアートラボCo部屋(コベヤ),八戸市八日町９ ダイヤビル１階,45-8338,1,受付,8:15～17:00,土･日･祝、12/29～1/3（臨時休業あり）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,三八城,公共施設・機関,八戸市庁（本館）,八戸市内丸一丁目１－１,43-2111,1,1階,24時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,三八城,公共施設・機関,八戸市庁（別館）,八戸市内丸一丁目１－１,43-2111,1,1階,24時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,三八城,公共施設・機関,八戸市公会堂,八戸市内丸一丁目１－１,45-1511,1,1階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,三八城,公共施設・機関,八戸市勤労青少年ホーム（ジョイパーク八戸）,八戸市沼館二丁目１３－２０,22-8612,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,三八城,公共施設・機関,八戸警察署,八戸市城下一丁目１６－２５,43-4141,2,1階総務、3階,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,三八城,公共施設・機関,日本年金機構　八戸年金事務所,八戸市城下四丁目１０－２０,44-1742,1,正面玄関,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,三八城,公共施設・機関,中央児童会館,八戸市内丸一丁目１－１,22-2667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,三八城,公共施設・機関,三八城公民館,八戸市城下三丁目１－１７,45-2566,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,三八城,公共施設・機関,八戸市津波防災センター,八戸市沼館四丁目６－１９,51-9983,1,2階ホール,9:00～21:00,月曜日、12/29～1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,三八城,公共施設・機関,八戸ブックセンター,八戸市大字六日町１６－２　Garden Terrace1階,20-8368,1,館内六日町側出入口付近,11:00～20:00,火曜日（祝日の場合その翌日）、12/29～1/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,三八城,公共施設・機関,八戸まちなか広場　マチニワ,八戸市三日町21番地1,22-8228（八戸ポータルミュージアム　はっち）,1,１階折り返し階段,6:00～23:00,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,三八城,教育機関,八戸小学校,八戸市長根三丁目２４－１,44-3021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,三八城,教育機関,第二中学校,八戸市長根三丁目２３－１,43-7819,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,三八城,教育機関,城下小学校,八戸市城下四丁目３－４２,44-3022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,柏崎,民間企業など,株式会社　石上建設,八戸市類家四丁目２－２６,45-8899,1,正面玄関,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,柏崎,民間企業など,㈱ＮＴＴ東日本‐東北　八戸営業所,八戸市柏崎四丁目７－２４,45-4270,1,2棟1階正面玄関,24時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,柏崎,民間企業など,八戸燃料㈱　セルフＳＳ青葉,八戸市青葉一丁目９－２８,73-7171,1,セールスルーム,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,柏崎,民間企業など,みちのく銀行　類家支店,八戸市青葉三丁目３－２０,46-3155,1,,9:00～17:00,土・日・祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,柏崎,病院・福祉施設など,八戸市総合健診センター,八戸市青葉二丁目１７－４,45-9131,1,2階採血コーナー,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,柏崎,病院・福祉施設など,斉藤ウイメンズクリニック,八戸市類家一丁目１－１６,22-4103,1,処置室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,柏崎,病院・福祉施設など,きよかわ内科胃・大腸クリニック,八戸市柏崎四丁目１５－４１,44-0555,1,診察室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,柏崎,病院・福祉施設など,おっとも脳神経クリニック,八戸市柏崎四丁目１４－４８,41-2005,1,2階デイケア施設,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,柏崎,病院・福祉施設など,あらい整形外科リハビリテーションクリニック,八戸市柏崎五丁目５－１７,71-3000,1,処置室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,柏崎,病院・福祉施設など,ひかり内科クリニック,八戸市青葉三丁目３１－５,73-5100,1,,（月火木金）9:00～18:00／（水土）9:00～12:00,日・祝、ＧＷ、お盆休み、年末年始、休診日（毎週水・土午後）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,柏崎,病院・福祉施設など,八戸クリニック 産婦人科,八戸市柏崎一丁目８－３２,22-7725,1,3階手術室前,24時間,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,柏崎,公共施設・機関,老人いこいの家　青山荘,八戸市類家二丁目７－４０,73-5363,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,柏崎,公共施設・機関,吹上児童館,八戸市類家二丁目７－４３,44-1141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,柏崎,公共施設・機関,八戸地域職業訓練センター,八戸市類家二丁目７－４０,46-3360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,柏崎,公共施設・機関,八戸市立高等看護学院,八戸市青葉二丁目１７－４,22-4169,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,柏崎,公共施設・機関,八戸市福祉公民館,八戸市類家四丁目３－１,43-0635,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,柏崎,公共施設・機関,八戸市視聴覚センター・児童科学館,八戸市類家四丁目３－１,45-8131,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,柏崎,公共施設・機関,八戸市身体障害者更生館,八戸市類家四丁目３－１,44-9100,1,事務室,9:00～17:00,月曜日（祝日の場合その翌日）、年末年始(12/28～1/4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
